sample_id,total_c_ug,total_n_ug,site_id,zone,soil_depth,site_treatment,treatment
N7-CO2-7-soil-60,388.91,36.57,N7,north,60,N7-CO2,CO2
N7-CO2-8-soil-15,1033.47,82.59,N7,north,15,N7-CO2,CO2
N7-CO2-8-soil-30,766.97,66.53,N7,north,30,N7-CO2,CO2
N7-CO2-8-soil-60,426.59,40.87,N7,north,60,N7-CO2,CO2
N7-CO2-9-soil-15,845.5,74.75,N7,north,15,N7-CO2,CO2
N7-CO2-9-soil-30,728.88,68.59,N7,north,30,N7-CO2,CO2
N7-CO2-9-soil-60,909.76,81.58,N7,north,60,N7-CO2,CO2
N7-CO2-9-soil-60-D,867.31,88.45,N7,north,#NAME?,N7-CO2,CO2
N7-CON-10-soil-15,1133.4,100.22,N7,north,15,N7-CON,CON
N7-CON-10-soil-30,639.92,62.47,N7,north,30,N7-CON,CON
N7-CON-10-soil-60,512.96,46.96,N7,north,60,N7-CON,CON
N7-CON-1-soil-15,997.5,95.47,N7,north,15,N7-CON,CON
N7-CON-1-soil-30,609.35,59.15,N7,north,30,N7-CON,CON
N7-CON-1-soil-60,351.99,33.85,N7,north,60,N7-CON,CON
N7-CON-2-soil-15,694.21,63.84,N7,north,15,N7-CON,CON
N7-CON-2-soil-30,562.44,57.62,N7,north,30,N7-CON,CON
N7-CON-2-soil-60,342.51,32.8,N7,north,60,N7-CON,CON
N7-CON-3-soil-15,1431.25,142.58,N7,north,15,N7-CON,CON
N7-CON-3-soil-15-D,1374.14,113.21,N7,north,#NAME?,N7-CON,CON
N7-CON-3-soil-30,684.16,71.41,N7,north,30,N7-CON,CON
N7-CON-3-soil-30-D,717.77,67.2,N7,north,#NAME?,N7-CON,CON
N7-CON-3-soil-60,363.16,38.01,N7,north,60,N7-CON,CON
N7-CON-3-soil-60-D,219.39,21.03,N7,north,#NAME?,N7-CON,CON
N7-CON-4-soil-15,981.76,86.1,N7,north,15,N7-CON,CON
N7-CON-4-soil-30,591.35,57.23,N7,north,30,N7-CON,CON
N7-CON-4-soil-60,309.44,27.99,N7,north,60,N7-CON,CON
N7-CON-5-soil-15,1096.49,88.35,N7,north,15,N7-CON,CON
N7-CON-5-soil-30,493.25,49.16,N7,north,30,N7-CON,CON
N7-CON-5-soil-60,329.48,29.91,N7,north,60,N7-CON,CON
N7-CON-6-soil-15,832.74,74.88,N7,north,15,N7-CON,CON
N7-CON-6-soil-30,513.19,53.09,N7,north,30,N7-CON,CON
N7-CON-6-soil-60,292.43,27.7,N7,north,60,N7-CON,CON
N7-CON-7-soil-15,1242.74,104.11,N7,north,15,N7-CON,CON
N7-CON-7-soil-30,545.89,53.95,N7,north,30,N7-CON,CON
N7-CON-7-soil-60,326.48,30.86,N7,north,60,N7-CON,CON
N7-CON-8-soil-15,1047.99,86.09,N7,north,15,N7-CON,CON
N7-CON-8-soil-30,657.46,65.67,N7,north,30,N7-CON,CON
N7-CON-8-soil-60,286.76,28.37,N7,north,60,N7-CON,CON
N7-CON-9-soil-15,1236.78,105.76,N7,north,15,N7-CON,CON
N7-CON-9-soil-30,541.42,53.95,N7,north,30,N7-CON,CON
S1-CO2-10-soil-15,2562.8,125.96,S1,south,15,S1-CO2,CO2
S1-CO2-10-soil-30,2807.96,104.13,S1,south,30,S1-CO2,CO2
S1-CO2-1-soil-15,773.08,55.02,S1,south,15,S1-CO2,CO2
S1-CO2-1-soil-30,496.24,34.88,S1,south,30,S1-CO2,CO2
S1-CO2-1-soil-60,326.14,20.56,S1,south,60,S1-CO2,CO2
S1-CO2-2-soil-15,390.43,29.22,S1,south,15,S1-CO2,CO2
S1-CO2-2-soil-30,312.3,24.98,S1,south,30,S1-CO2,CO2
S1-CO2-2-soil-90,656.17,45.32,S1,south,90,S1-CO2,CO2
S1-CO2-2-soil-90-D,285.77,18.86,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-3-soil-15,1156.04,83.1,S1,south,15,S1-CO2,CO2
S1-CO2-3-soil-30,790.25,58.77,S1,south,30,S1-CO2,CO2
S1-CO2-3-soil-60,204.28,17.02,S1,south,60,S1-CO2,CO2
S1-CO2-3-soil-60-D,664.83,47.07,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-4-soil-15,1085.07,80.54,S1,south,15,S1-CO2,CO2
S1-CO2-4-soil-15-D,1328.22,101.09,S1,south,#NAME?,S1-CO2,CO2
S1-CO2-4-soil-60,834.08,58.56,S1,south,60,S1-CO2,CO2
S1-CO2-5-soil-15,1133.13,84.47,S1,south,15,S1-CO2,CO2
S1-CO2-6-soil-120,503.02,35.45,S1,south,20,S1-CO2,CO2
S1-CO2-6-soil-15,954.22,71.68,S1,south,15,S1-CO2,CO2
S1-CO2-6-soil-30,783.72,59.7,S1,south,30,S1-CO2,CO2
S1-CO2-6-soil-60,651.35,50.36,S1,south,60,S1-CO2,CO2
S1-CO2-6-soil-90,465.6,31.93,S1,south,90,S1-CO2,CO2
S1-CO2-7-soil-15,873.39,65.12,S1,south,15,S1-CO2,CO2
S1-CO2-7-soil-30,689.75,52.72,S1,south,30,S1-CO2,CO2
S1-CO2-7-soil-60,583.04,44.46,S1,south,60,S1-CO2,CO2
S1-CO2-8-soil-15,626.57,49.88,S1,south,15,S1-CO2,CO2
S1-CO2-8-soil-30,302.95,24.74,S1,south,30,S1-CO2,CO2
S1-CO2-8-soil-60,349.15,27.24,S1,south,60,S1-CO2,CO2
S1-CO2-9-soil-15,3623.59,168.42,S1,south,15,S1-CO2,CO2
S1-CO2-9-soil-30,2476.92,98.55,S1,south,30,S1-CO2,CO2
S1-CO2-9-soil-60,700.94,69.72,S1,south,60,S1-CO2,CO2
S1-CON-10-soil-15,573.57,34.71,S1,south,15,S1-CON,CON
S1-CON-10-soil-30,205.91,13.32,S1,south,30,S1-CON,CON
S1-CON-10-soil-60,149.96,10.38,S1,south,60,S1-CON,CON
S1-CON-1-soil-15,730.12,42.72,S1,south,15,S1-CON,CON
S1-CON-1-soil-30,422.71,29.05,S1,south,30,S1-CON,CON
S1-CON-2-soil-15,611.24,43.94,S1,south,15,S1-CON,CON
S1-CON-2-soil-15-D,718.84,47.03,S1,south,#NAME?,S1-CON,CON
S1-CON-2-soil-30,421.63,29.41,S1,south,30,S1-CON,CON
S1-CON-2-soil-60,352.94,22.58,S1,south,60,S1-CON,CON
S1-CON-3-soil-15,547.4,37.76,S1,south,15,S1-CON,CON
S1-CON-3-soil-15-D,203.87,13.77,S1,south,#NAME?,S1-CON,CON
S1-CON-3-soil-30,259,16.32,S1,south,30,S1-CON,CON
S1-CON-3-soil-60,222.54,12.31,S1,south,60,S1-CON,CON
S1-CON-4-soil-15,459.41,43.23,S1,south,15,S1-CON,CON
S1-CON-4-soil-30,254.54,16.23,S1,south,30,S1-CON,CON
S1-CON-4-soil-60,154.11,11.09,S1,south,60,S1-CON,CON
S1-CON-5-soil-15,370.3,22.45,S1,south,15,S1-CON,CON
S1-CON-5-soil-30,197.2,12.93,S1,south,30,S1-CON,CON
S1-CON-6-soil-15,465.2,31.44,S1,south,15,S1-CON,CON
S1-CON-6-soil-30,223.68,14.89,S1,south,30,S1-CON,CON
S1-CON-6-soil-60,164.54,11.81,S1,south,60,S1-CON,CON
S1-CON-7-soil-15,473.38,29.53,S1,south,15,S1-CON,CON
S1-CON-7-soil-30,237.98,16.87,S1,south,30,S1-CON,CON
S1-CON-8-soil-15,440.26,29.68,S1,south,15,S1-CON,CON
S1-CON-8-soil-30,194.31,13.29,S1,south,30,S1-CON,CON
S1-CON-8-soil-60,130.61,9.4,S1,south,60,S1-CON,CON
S1-CON-9-soil-15,588.82,40.57,S1,south,15,S1-CON,CON
S1-CON-9-soil-30,323.82,21.75,S1,south,30,S1-CON,CON
S1-CON-9-soil-60,195.58,12.12,S1,south,60,S1-CON,CON
S3-CO2-10-soil-15,1296,102.91,S3,south,15,S3-CO2,CO2
S3-CO2-10-soil-30,641.47,50.96,S3,south,30,S3-CO2,CO2
S3-CO2-10-soil-60,342.1,26.91,S3,south,60,S3-CO2,CO2
S3-CO2-1-soil-15,885.61,48.39,S3,south,15,S3-CO2,CO2
S3-CO2-1-soil-30,415.29,24.99,S3,south,30,S3-CO2,CO2
S3-CO2-1-soil-60,190.89,11.43,S3,south,60,S3-CO2,CO2
