sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N4-CON-9-soil-15,1855.5,122.41,-27.87,2.46,N4-CON,North,15,CON,N4
N4-CON-9-soil-30,913.01,69.55,-27.84,3.08,N4-CON,North,30,CON,N4
N4-CON-9-soil-60,520,40.1,-27.55,3.92,N4-CON,North,60,CON,N4
N7-CO2-10-soil-15,1379.49,107.05,-28.74,2.16,N7-CO2,North,15,CO2,N7
N7-CO2-10-soil-30,746.25,66.46,-27.84,3.81,N7-CO2,North,30,CO2,N7
N7-CO2-1-soil-15,700.94,58.99,-29.02,2.52,N7-CO2,North,15,CO2,N7
N7-CO2-1-soil-30,740.39,71.35,-27.82,3.97,N7-CO2,North,30,CO2,N7
N7-CO2-1-soil-60,532.2,51.75,-27.21,5,N7-CO2,North,60,CO2,N7
N7-CO2-2-soil-15,1066.33,93.69,-28.29,3.05,N7-CO2,North,15,CO2,N7
N7-CO2-2-soil-30,695.78,66.95,-27.49,4.28,N7-CO2,North,30,CO2,N7
N7-CO2-2-soil-60,370.47,33.86,-26.91,4.39,N7-CO2,North,60,CO2,N7
N7-CO2-3-soil-15,946.09,83.26,-28.83,3.2,N7-CO2,North,15,CO2,N7
N7-CO2-3-soil-30,563.9,55.58,-27.23,4.85,N7-CO2,North,30,CO2,N7
N7-CO2-4-soil-15,837.56,74.8,-28.56,3.27,N7-CO2,North,15,CO2,N7
N7-CO2-4-soil-30,490.38,46.74,-27.16,4.72,N7-CO2,North,30,CO2,N7
N7-CO2-4-soil-60,254.82,22.82,-26.58,5.13,N7-CO2,North,60,CO2,N7
N7-CO2-5-soil-15,1130.14,96.57,-28.86,3.09,N7-CO2,North,15,CO2,N7
N7-CO2-5-soil-30,628.15,59.55,-27.21,5.5,N7-CO2,North,30,CO2,N7
N7-CO2-5-soil-60,347.17,32.71,-26.59,5.5,N7-CO2,North,60,CO2,N7
N7-CO2-6-soil-15,1028.52,75.41,-29.28,2.76,N7-CO2,North,15,CO2,N7
N7-CO2-6-soil-30,656.32,56.08,-27.31,5.3,N7-CO2,North,30,CO2,N7
N7-CO2-6-soil-60,284.39,26.22,-26.28,5.11,N7-CO2,North,60,CO2,N7
N7-CO2-7-soil-15,979.84,81.27,-28.72,2.84,N7-CO2,North,15,CO2,N7
N7-CO2-7-soil-30,671.63,65.13,-27.24,4.94,N7-CO2,North,30,CO2,N7
N7-CO2-7-soil-60,388.91,36.57,-26.52,4.97,N7-CO2,North,60,CO2,N7
N7-CO2-8-soil-15,1033.47,82.59,-28.31,2.89,N7-CO2,North,15,CO2,N7
N7-CO2-8-soil-30,766.97,66.53,-27.61,4.13,N7-CO2,North,30,CO2,N7
N7-CO2-8-soil-60,426.59,40.87,-26.74,4.74,N7-CO2,North,60,CO2,N7
N7-CO2-9-soil-15,845.5,74.75,-28.39,2.93,N7-CO2,North,15,CO2,N7
N7-CO2-9-soil-30,728.88,68.59,-27.55,4.34,N7-CO2,North,30,CO2,N7
N7-CO2-9-soil-60,909.76,81.58,-27.38,5.17,N7-CO2,North,60,CO2,N7
N7-CO2-9-soil-60-D,867.31,88.45,-27.28,5.64,N7-CO2,North,-D,CO2,N7
N7-CON-10-soil-15,1133.4,100.22,-28.66,2.92,N7-CON,North,15,CON,N7
N7-CON-10-soil-30,639.92,62.47,-27.11,4.73,N7-CON,North,30,CON,N7
N7-CON-10-soil-60,512.96,46.96,-27.04,4.98,N7-CON,North,60,CON,N7
N7-CON-1-soil-15,997.5,95.47,-28.29,3.52,N7-CON,North,15,CON,N7
N7-CON-1-soil-30,609.35,59.15,-27.4,4.47,N7-CON,North,30,CON,N7
N7-CON-1-soil-60,351.99,33.85,-26.72,4.69,N7-CON,North,60,CON,N7
N7-CON-2-soil-15,694.21,63.84,-28.28,3.5,N7-CON,North,15,CON,N7
N7-CON-2-soil-30,562.44,57.62,-27.2,5.15,N7-CON,North,30,CON,N7
N7-CON-2-soil-60,342.51,32.8,-26.48,5.36,N7-CON,North,60,CON,N7
N7-CON-3-soil-15,1431.25,142.58,-29.26,4.26,N7-CON,North,15,CON,N7
N7-CON-3-soil-15-D,1374.14,113.21,-29.19,2.91,N7-CON,North,-D,CON,N7
